"Anzahl Bits in einem Byte","ACHT"
"Handy-Betriebssystem","ANDROID"
"Roboter mit Ziegel und Marken","KAROL"
"Abkürzung objektorientierte Programmierung","OOP"
"Abkürzung 'Du lebst nur einmal'","YOLO"
"Messenger mit Papierflieger im Logo","TELEGRAM"
"___.io-Spiel mit Würmern","SLITHER"
"Nachname Facebookgründer","ZUCKERBERG"
"Fachbezeichnung 2D-Zahlentabelle","MATRIX"
"Bauplan für ein Objekt in Java","KLASSE"
"'Schneller' Sortieralgorithmus","QUICKSORT"
"Asymmetrisches Kryptosystem mit großen Primzahlen","RSA"
"Datenbanksprache","SQL"
"2 hoch 20 Bytes","MEGABYTE"
"Neudeutsch für 'Suchen'","GOOGLEN"
